ecephys_session_id,behavior_session_id,date_of_acquisition,equipment_name,session_type,mouse_id,genotype,sex,project_code,age_in_days,unit_count,probe_count,channel_count,structure_acronyms,image_set,prior_exposures_to_image_set,session_number,experience_level,prior_exposures_to_omissions,file_id,abnormal_histology,abnormal_activity
1115356973,1115423017,2021-07-14 15:30:14.987000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,570299,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,170,1867,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'PoT', 'root', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,996,,
1115368723,1115431348,2021-07-14 15:47:10.705000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,574078,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,142,2291,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGv', 'LP', 'MB', 'MGm', 'NOT', 'POST', 'PoT', 'ProS', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,997,,
1116941914,1116979796,2021-07-21 14:28:19.583000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,576323,wt/wt,M,NeuropixelVisualBehavior,131,2178,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGm', 'MRN', 'NB', 'NOT', 'POL', 'POST', 'PPT', 'ProS', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,17,1,Familiar,0,998,,
1117148442,1117166453,2021-07-22 14:58:15.010000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,576323,wt/wt,M,NeuropixelVisualBehavior,132,2016,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MRN', 'NB', 'NOT', 'POL', 'POST', 'PPT', 'ProS', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,999,,
1118324999,1118353478,2021-07-28 13:39:01.332000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,576324,wt/wt,F,NeuropixelVisualBehavior,138,2290,6,2304,"['APN', 'CA1', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGv', 'NB', 'NOT', 'POST', 'PoT', 'PPT', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,21,1,Familiar,0,1000,,
1118327332,1118353987,2021-07-28 13:45:16.779000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,574082,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,156,2204,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGd-sh', 'LP', 'MB', 'NOT', 'POL', 'POST', 'PoT', 'PP', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,31,1,Familiar,0,1001,,
1118508667,1118614693,2021-07-29 13:50:20.618000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,574082,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,157,2316,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'NOT', 'POST', 'PoT', 'PP', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,1002,,
1118512505,1118600316,2021-07-29 13:18:24.439000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,576324,wt/wt,F,NeuropixelVisualBehavior,139,1638,6,2304,"['APN', 'CA1', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'NOT', 'PIL', 'POST', 'PoT', 'ProS', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,1003,,
1119946360,1119976479,2021-08-04 12:58:37.932000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,578003,wt/wt,M,NeuropixelVisualBehavior,130,3388,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'PIL', 'POL', 'PP', 'PRE', 'ProS', 'root', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,21,1,Familiar,0,1004,,
1120251466,1120272974,2021-08-05 13:50:07.381000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,578003,wt/wt,M,NeuropixelVisualBehavior,131,2491,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGd-co', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'NOT', 'PIL', 'PRE', 'ProS', 'root', 'SGN', 'SUB', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,1005,,
